cosp	ada	ntu	democrat	firstelected	margin	appromember	budgetmember
1	0	68	0	84	24	1	0
1	10	74	0	92	2	0	0
1	20	28	1	89	24	0	1
0	45	16	1	67	40	1	0
0	45	17	1	90	32	0	0
1	0	78	0	92	8	0	0
0	90	14	1	92	60	0	0
1	15	58	0	73	4	0	0
1	60	38	1	92	8	0	0
0	90	14	1	91	38	1	0
1	0	73	0	83	28	0	0
1	5	76	0	86	32	0	0
1	5	70	0	84	38	1	1
1	90	21	1	92	12	0	0
0	65	34	1	92	40	0	0
0	50	18	1	90	48	1	0
1	5	74	0	92	3	0	0
1	10	78	0	92	4	0	0
0	100	21	1	92	3	0	0
1	5	83	0	86	37	0	1
0	85	12	1	79	11	1	0
1	10	83	0	90	4	0	0
0	80	12	1	79	4	0	0
0	100	19	1	92	30	0	1
0	100	22	1	75	46	0	0
0	95	19	1	87	72	1	0
0	100	20	1	71	49	0	0
1	10	76	0	92	4	0	0
1	10	84	0	92	1	0	0
0	90	20	1	81	46	0	0
0	100	24	1	73	30	0	0
0	95	20	1	92	18	0	0
0	80	12	1	75	33	0	0
0	100	18	1	63	30	0	0
0	93	22	1	93	9	0	0
1	60	66	1	89	68	0	0
0	75	34	1	83	0	0	0
1	75	40	1	90	30	0	0
1	5	67	0	79	30	0	0
1	20	73	0	92	17	0	0
1	10	72	0	86	12	0	0
0	85	25	1	77	17	0	1
1	5	81	0	92	19	0	0
0	95	13	1	83	31	0	1
1	0	79	0	73	9	0	0
1	0	81	0	81	21	0	0
0	100	17	1	75	39	0	0
0	95	19	1	92	36	0	0
0	90	16	1	82	26	0	0
0	80	9	1	79	74	1	0
0	95	15	1	92	31	0	0
0	90	12	1	83	28	1	0
0	100	16	1	90	69	0	0
0	85	22	1	92	7	0	0
0	90	13	1	92	72	0	0
1	40	56	0	92	4	0	0
1	20	88	0	92	19	0	0
1	0	65	0	79	32	1	0
1	10	75	0	92	24	0	0
0	90	15	1	73	7	0	0
1	0	73	0	92	1	0	0
1	5	76	0	83	13	0	0
1	20	87	0	88	15	0	0
1	0	77	0	84	9	0	0
1	0	81	0	88	33	0	1
1	0	72	0	83	31	1	0
1	85	30	1	92	10	0	0
0	100	16	1	92	28	0	0
1	0	79	0	90	22	0	0
1	5	81	0	81	10	0	0
0	95	27	1	73	38	0	0
0	75	22	1	86	30	1	0
1	15	74	0	92	12	0	0
1	15	84	0	90	16	0	1
1	5	73	0	86	48	0	0
1	5	73	0	83	22	0	0
0	90	16	1	82	38	0	1
0	95	18	1	81	2	0	0
0	95	17	1	90	32	1	0
1	60	76	0	87	40	0	1
1	10	69	0	90	13	0	0
1	40	66	0	83	46	0	0
1	20	75	0	92	14	0	0
1	25	39	1	79	10	0	0
1	55	14	1	90	48	1	0
